# ED-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic    | dest | src  | summary                | description
9b | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
9c | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
9d | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
9e | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
9f | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
#op|xtr| type | mnemonic    | dest | src  | summary                | description
a0 | 0 | 0 | LD   | LDI         | (HL) | (DE) | $DE=$HL; DE++; HL++; BC--; | Incrementing Load from memory $HL to memory $DE
a1 | 0 | 0 | CP   | CPI         |      | (HL) | (c,z)=A-$HL; HL++; BC--; | Incrementing Compare memory $HL and register A
a2 | 0 | 0 | IN   | INI         | (HL) |  (C) | $HL=IN(C); HL++; B--;  | Incrementing Read from port (C) to memory $HL
a3 | 0 | 0 | OUT  | OUTI        |  (C) | (HL) | OUT(C)=$HL; HL++; B--; | Incrementing Write from memory $HL to port (C)
a4 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
a5 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
a6 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
a7 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
a8 | 0 | 0 | LD   | LDD         | (HL) | (DE) | $DE=$HL; DE--; HL--; BC--; | Decrementing Load from memory $HL to memory $DE
a9 | 0 | 0 | CP   | CPD         |      | (HL) | (c,z)=A-$HL; HL--; BC--; | Decrementing Compare memory $HL and register A
aa | 0 | 0 | IN   | IND         | (HL) |  (C) | $HL=IN(C); HL--; B--;  | Decrementing Read from port (C) to memory $HL
ab | 0 | 0 | OUT  | OUTD        |  (C) | (HL) | OUT(C)=$HL; HL--; B--; | Decrementing Write from memory $HL to port (C)
ac | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
ad | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
ae | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
af | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
b0 | 0 | 0 | LD   | LDIR        |      |      | while(--BC){ $DE=$HL; DE++; HL++; } | Repeating Incrementing Load from memory $HL to memory $DE
b1 | 0 | 0 | CP   | CPIR        |      | (HL) | while(--BC && !c){ (c,z)=A-$HL; $HL++; } | Repeating Incrementing Compare memory $HL and register A
b2 | 0 | 0 | IN   | INIR        | (HL) |  (C) | while(B--){ $HL=IN(C); HL++; } | Repeating Incrementing Read from port (C) to memory $HL
b3 | 0 | 0 | OUT  | OTIR        |  (C) | (HL) | while(B--){ OUT(C)=$HL; HL++; } | | Repeating Incrementing Write from memory $HL to port (C)
b4 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
b5 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
b6 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
b7 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
b8 | 0 | 0 | LD   | LDDR        |      |      | while(--BC){ $DE=$HL; DE--; HL--; } | Repeating Decrementing Load from memory $HL to memory $DE
b9 | 0 | 0 | CP   | CPDR        |      | (HL) | while(--BC && !c){ (c,z)=A-$HL; $HL--; } | Repeating Decrementing Compare memory $HL and register A
ba | 0 | 0 | IN   | INDR        | (HL) |  (C) | while(B--){ $HL=IN(C); HL--; } | Repeating Decrementing Read from port (C) to memory $HL
bb | 0 | 0 | OUT  | OTDR        |  (C) | (HL) | while(B--){ OUT(C)=$HL; HL--; } | | Repeating Decrementing Write from memory $HL to port (C)
bc | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
bd | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
be | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
bf | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
c0 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
c1 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
