# DDCB-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic            | dest |   src  | summary                                      | description
73 | 1 | 2 | BIT  | BIT 6, $(IX+d)      |      |        | z=~$(IX+d):6                                 | Test bit 6 of memory $(IX+{d}) (undocumented)
74 | 1 | 2 | BIT  | BIT 6, $(IX+d)      |      |        | z=~$(IX+d):6                                 | Test bit 6 of memory $(IX+{d}) (undocumented)
75 | 1 | 2 | BIT  | BIT 6, $(IX+d)      |      |        | z=~$(IX+d):6                                 | Test bit 6 of memory $(IX+{d}) (undocumented)
76 | 1 | 2 | BIT  | BIT 6, $(IX+d)      |      |        | z=~$(IX+d):6                                 | Test bit 6 of memory $(IX+{d})
77 | 1 | 2 | BIT  | BIT 6, $(IX+d)      |      |        | z=~$(IX+d):6                                 | Test bit 6 of memory $(IX+{d}) (undocumented)
78 | 1 | 2 | BIT  | BIT 7, $(IX+d)      |      |        | z=~$(IX+d):7                                 | Test bit 7 of memory $(IX+{d}) (undocumented)
79 | 1 | 2 | BIT  | BIT 7, $(IX+d)      |      |        | z=~$(IX+d):7                                 | Test bit 7 of memory $(IX+{d}) (undocumented)
7a | 1 | 2 | BIT  | BIT 7, $(IX+d)      |      |        | z=~$(IX+d):7                                 | Test bit 7 of memory $(IX+{d}) (undocumented)
7b | 1 | 2 | BIT  | BIT 7, $(IX+d)      |      |        | z=~$(IX+d):7                                 | Test bit 7 of memory $(IX+{d}) (undocumented)
7c | 1 | 2 | BIT  | BIT 7, $(IX+d)      |      |        | z=~$(IX+d):7                                 | Test bit 7 of memory $(IX+{d}) (undocumented)
7d | 1 | 2 | BIT  | BIT 7, $(IX+d)      |      |        | z=~$(IX+d):7                                 | Test bit 7 of memory $(IX+{d}) (undocumented)
7e | 1 | 2 | BIT  | BIT 7, $(IX+d)      |      |        | z=~$(IX+d):7                                 | Test bit 7 of memory $(IX+{d})
7f | 1 | 2 | BIT  | BIT 7, $(IX+d)      |      |        | z=~$(IX+d):7                                 | Test bit 7 of memory $(IX+{d}) (undocumented)
80 | 1 | 2 | RES  | LD B, RES 0, (IX+d) |    B | (IX+d) | $(IX+d):0=0,B=$(IX+d)                        | Reset bit 0 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
81 | 1 | 2 | RES  | LD C, RES 0, (IX+d) |    C | (IX+d) | $(IX+d):0=0,C=$(IX+d)                        | Reset bit 0 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
